date,campaign_id,campaign_name,keyword_id,keyword_search_term,device,article_id,article_title,article_author,total_cost,total_revenue,total_clicks,total_impressions
2024-05-20,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,6847,streetwear sneakers men,desktop,8661037,How to Style Men’s Streetwear Sneakers,Morgan Davis,2.68,17.8,1,35
2024-05-22,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,6633,limited edition street shoes,desktop,3182119,Collectible Street Shoes Worth Buying,Reagan Allen,2.03,3.2,1,44
2024-05-22,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,6847,streetwear sneakers men,desktop,2329279,Must-Have Sneakers for Urban Fashion,Avery Martinez,2.22,2.35,1,14
2024-05-24,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,2144,urban shoe sale,mobile,2484649,Urban Shoe Styles on Sale This Month,Taylor Smith,1.24,4.6,1,37
2024-05-25,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,2144,urban shoe sale,mobile,2484649,Urban Shoe Styles on Sale This Month,Taylor Smith,1.25,6.84,1,49
2024-05-27,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,3024,trendy high tops women,mobile,5455015,Trendy High Tops Every Woman Needs,Reagan Allen,1.65,15.26,1,38
2024-05-27,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,6847,streetwear sneakers men,desktop,3167470,Top Streetwear Sneakers for Men,Skyler Wright,2.06,13.51,1,29
2024-05-28,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,3719,casual sneakers under 100,mobile,5027243,Casual Sneakers Under $100 You’ll Love,Taylor Smith,0.94,18.99,1,14
2024-05-31,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,3719,casual sneakers under 100,mobile,2137248,Affordable Sneakers for All-Day Comfort,Parker Hall,1.27,13.86,1,7
2024-06-01,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,6633,limited edition street shoes,desktop,3182119,Collectible Street Shoes Worth Buying,Reagan Allen,2.16,13.04,1,8
2024-06-03,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,2464,organic cotton t shirts,mobile,9561906,Cotton T Shirts for a Sustainable Wardrobe,Morgan Davis,1.69,15.43,1,10
2024-06-04,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,3024,trendy high tops women,mobile,5455015,Trendy High Tops Every Woman Needs,Reagan Allen,1.96,1.9,1,35
2024-06-05,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,3472,sustainable basics clothing,mobile,3255038,Tips for Building a Green Wardrobe,Alex Johnson,1.15,11.52,1,16
2024-06-05,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,3024,trendy high tops women,mobile,5455015,Trendy High Tops Every Woman Needs,Reagan Allen,1.95,8.74,1,42
2024-06-07,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,2144,urban shoe sale,mobile,6546234,How to Choose the Best Urban Shoes,Avery Martinez,1.04,13.12,1,50
2024-06-08,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,8728,eco friendly summer wear,mobile,3508093,Eco-Friendly Summer Wear to Stay Cool,Cameron White,2.77,9.5,1,43
2024-06-09,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,3472,sustainable basics clothing,mobile,4120575,Sustainable Basics That Lasts,Cameron White,1.19,12.25,1,50
2024-06-10,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,6633,limited edition street shoes,desktop,3222499,Limited Edition Street Shoes to Watch,Morgan Davis,1.7,4.21,1,46
2024-06-13,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,8728,eco friendly summer wear,mobile,3508093,Eco-Friendly Summer Wear to Stay Cool,Cameron White,2.08,6.8,1,7
2024-06-13,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4790,refresh home style,desktop,7520225,Quick Tips to Refresh Your Home Style,Morgan Davis,2.17,1.63,1,34
2024-06-13,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,8953,modern living room sets,tablet,6702968,Sleek Living Room Design Ideas,Cameron White,1.14,1.63,1,14
2024-06-14,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,2464,organic cotton t shirts,mobile,9561906,Cotton T Shirts for a Sustainable Wardrobe,Morgan Davis,1.35,10.98,1,38
2024-06-14,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,3719,casual sneakers under 100,mobile,5027243,Casual Sneakers Under $100 You’ll Love,Taylor Smith,1.11,17.43,1,21
2024-06-15,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,8728,eco friendly summer wear,mobile,3508093,Eco-Friendly Summer Wear to Stay Cool,Cameron White,2.05,3.77,1,10
2024-06-15,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,7376,affordable home accents,mobile,9602993,How to Mix Affordable Accents for a Chic Look,Hayden Walker,1.67,1.21,1,43
2024-06-21,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4790,refresh home style,desktop,1256389,Affordable Home Makeover Ideas,Cameron White,2.03,7.27,1,13
2024-06-22,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,6962,linen shorts sale,desktop,5925647,Best Affordable Summer Shorts,Payton Green,1.62,1,1,11
2024-06-22,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4705,summer home décor ideas,mobile,3701765,5 Easy Summer Home Updates,Taylor Smith,1.17,5.19,1,40
2024-06-24,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,3472,sustainable basics clothing,mobile,4120575,Sustainable Basics That Lasts,Cameron White,0.98,15.26,1,13
2024-06-24,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,4660,neutral wardrobe staples,tablet,9393656,How to Mix and Match for Effortless Style,Alex Johnson,1.92,2.49,1,45
2024-06-24,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,7376,affordable home accents,mobile,9603850,Stylish Home Accessories on a Budget,Cameron White,1.67,5.58,1,44
2024-06-25,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,8953,modern living room sets,tablet,5868450,How to Choose the Right Living Room Set,Parker Hall,1.66,6.07,1,22
2024-06-25,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,8953,modern living room sets,tablet,6794200,Modern Living Room Sets That Wow,Quinn Clark,1.27,15.97,1,20
2024-06-25,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,2144,urban shoe sale,mobile,6546234,How to Choose the Best Urban Shoes,Avery Martinez,1.04,19.74,1,12
2024-06-26,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,6962,linen shorts sale,desktop,5925647,Best Affordable Summer Shorts,Payton Green,1.68,8.07,1,37
2024-06-26,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4790,refresh home style,desktop,7865273,How to Update Your Home Without Renovation,Emerson Young,2.47,17.08,1,5
2024-06-26,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,3024,trendy high tops women,mobile,1988453,Top High Tops for Fashion and Comfort,Sydney Lewis,2.06,15.55,1,41
2024-06-28,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,3472,sustainable basics clothing,mobile,3255038,Tips for Building a Green Wardrobe,Alex Johnson,0.91,2.81,1,20
2024-06-28,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,2144,urban shoe sale,mobile,4466633,Trending Urban Shoes for Every Season,Jamie Thompson,1.31,13.49,1,19
2024-06-29,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,8953,modern living room sets,tablet,6794200,Modern Living Room Sets That Wow,Quinn Clark,1.21,18.09,1,36
2024-06-30,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,6962,linen shorts sale,desktop,8880787,Linen Shorts for Warm Weather,Reagan Allen,1.83,16.39,1,50
2024-06-30,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4705,summer home décor ideas,mobile,3701765,5 Easy Summer Home Updates,Taylor Smith,1.41,5.91,1,15
2024-07-01,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,4660,neutral wardrobe staples,tablet,9393656,How to Mix and Match for Effortless Style,Alex Johnson,2.48,2.65,1,30
2024-07-01,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,6962,linen shorts sale,desktop,8880787,Linen Shorts for Warm Weather,Reagan Allen,1.57,14.01,1,9
2024-07-01,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4056,minimalist wall art sale,desktop,1526399,Minimalist Wall Art Pieces You’ll Love,Alex Johnson,2.32,17.11,1,17
2024-07-03,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,7025,home clearance sale,desktop,3139932,Best Deals on Furniture and Decor,Quinn Clark,2.41,11.98,1,36
2024-07-04,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,2464,organic cotton t shirts,mobile,9561906,Cotton T Shirts for a Sustainable Wardrobe,Morgan Davis,1.94,17.41,1,37
2024-07-04,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,6054,discount furniture online,mobile,1252938,Discount Furniture Online You Can Trust,Skyler Wright,1.95,15.83,1,14
2024-07-04,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4790,refresh home style,desktop,7865273,How to Update Your Home Without Renovation,Emerson Young,1.94,3.63,1,5
2024-07-05,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,7025,home clearance sale,desktop,3139932,Best Deals on Furniture and Decor,Quinn Clark,2.72,14.8,1,38
2024-07-07,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5060,outlet home accessories,desktop,3201724,How to Decorate on a Budget,Riley Wilson,1.29,4.88,1,23
2024-07-07,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4705,summer home décor ideas,mobile,3701765,5 Easy Summer Home Updates,Taylor Smith,1.34,11.38,1,25
2024-07-07,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4790,refresh home style,desktop,7520225,Quick Tips to Refresh Your Home Style,Morgan Davis,2.56,8.44,1,36
2024-07-08,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5060,outlet home accessories,desktop,3201724,How to Decorate on a Budget,Riley Wilson,1.81,11.53,1,36
2024-07-10,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,4660,neutral wardrobe staples,tablet,9393656,How to Mix and Match for Effortless Style,Alex Johnson,1.91,6.84,1,7
2024-07-10,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5060,outlet home accessories,desktop,1722747,Budget Accessories for Every Room,Riley Wilson,1.51,12.18,1,38
2024-07-11,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,7025,home clearance sale,desktop,4292908,Tips for Scoring the Top Furniture,Payton Green,2.43,15.44,1,49
2024-07-11,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,8953,modern living room sets,tablet,5868450,How to Choose the Right Living Room Set,Parker Hall,1.31,17.3,1,29
2024-07-12,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,4660,neutral wardrobe staples,tablet,4472125,Neutral Wardrobe Staples Everyone Needs,Taylor Smith,2.29,5.7,1,6
2024-07-12,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5342,summer décor deals,tablet,2178762,Summer Décor Deals That Refresh Your Home,Morgan Davis,1.75,8.75,1,38
2024-07-12,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5342,summer décor deals,tablet,5449145,Affordable Seasonal Decorating Ideas,Quinn Clark,2.23,3.57,1,13
2024-07-12,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,6054,discount furniture online,mobile,1252938,Discount Furniture Online You Can Trust,Skyler Wright,1.97,19.72,1,40
2024-07-12,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,7376,affordable home accents,mobile,9603850,Stylish Home Accessories on a Budget,Cameron White,1.6,13.67,1,45
2024-07-13,cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience,3472,sustainable basics clothing,mobile,3255038,Tips for Building a Green Wardrobe,Alex Johnson,1.1,15.64,1,34
2024-07-13,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,7025,home clearance sale,desktop,4292908,Tips for Scoring the Top Furniture,Payton Green,2.46,17.16,1,8
2024-07-14,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5342,summer décor deals,tablet,5449145,Affordable Seasonal Decorating Ideas,Quinn Clark,2.07,19.57,1,8
2024-07-14,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4056,minimalist wall art sale,desktop,1526399,Minimalist Wall Art Pieces You’ll Love,Alex Johnson,1.89,16.07,1,38
2024-07-15,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,7283,last chance home sale,desktop,4350957,Last Chance: Don’t Miss These Deals,Devon Scott,1.88,6.45,1,10
2024-07-15,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6338,soft pillowcases online,desktop,7696595,Soft Pillowcases Online for Ultimate Comfort,Reagan Allen,2.09,3.96,1,21
2024-07-15,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6803,minimalist bed linens,mobile,3449021,Minimalist Bed Linens That Transform Your Bedroom,Jordan Lee,1.33,10.57,1,44
2024-07-15,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6803,minimalist bed linens,mobile,8671190,How to Choose the Perfect Sheets and Covers,Reagan Allen,2.87,11.72,2,59
2024-07-15,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6827,premium bedding discount,tablet,1449546,Premium Bedding Discounts You Can’t Miss,Hayden Walker,2.64,13.15,1,24
2024-07-15,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6892,linen duvet cover sale,desktop,2056952,Linen Duvet Cover Sale: Affordable Luxury,Jordan Lee,1.98,18.34,1,50
2024-07-16,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6338,soft pillowcases online,desktop,7696595,Soft Pillowcases Online for Ultimate Comfort,Reagan Allen,2.34,11.32,1,31
2024-07-16,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6338,soft pillowcases online,desktop,7778644,Best Materials for a Restful Night,Payton Green,2.27,16.42,1,24
2024-07-16,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6827,premium bedding discount,tablet,6336176,How to Find Luxury Bedding on a Budget,Alex Johnson,6.61,42.28,3,57
2024-07-16,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6892,linen duvet cover sale,desktop,2056952,Linen Duvet Cover Sale: Affordable Luxury,Jordan Lee,1.84,12.89,1,20
2024-07-16,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6892,linen duvet cover sale,desktop,7112469,Tips for Choosing the Right Linen Bedding,Jordan Lee,3.89,17.08,2,59
2024-07-16,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,7851,scandinavian bedding sets,desktop,3954646,How to Style Your Bedroom in Scandinavian Fashion,Hayden Walker,1.41,19.26,1,20
2024-07-17,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6338,soft pillowcases online,desktop,7778644,Best Materials for a Restful Night,Payton Green,2.45,16.43,1,37
2024-07-17,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,6827,premium bedding discount,tablet,1449546,Premium Bedding Discounts You Can’t Miss,Hayden Walker,2.38,13.14,1,20
2024-07-17,nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast,7851,scandinavian bedding sets,desktop,9025425,Scandinavian Bedding Sets for a Minimalist Look,Payton Green,2.9,26.84,2,43
2024-07-19,homehaven_summerrefresh_search,Homehaven Summerrefresh Search,4056,minimalist wall art sale,desktop,1526399,Minimalist Wall Art Pieces You’ll Love,Alex Johnson,2.18,10.97,1,15
2024-07-20,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,6054,discount furniture online,mobile,1673861,How to Find Quality Pieces Without Paying Full Price,Parker Hall,2.22,3.67,1,33
2024-07-21,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,7025,home clearance sale,desktop,3139932,Best Deals on Furniture and Decor,Quinn Clark,2.13,11.01,1,33
2024-07-22,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,7283,last chance home sale,desktop,1510491,How to Grab Furniture Before They’re Gone,Jordan Lee,1.54,12.42,1,22
2024-07-23,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5342,summer décor deals,tablet,2178762,Summer Décor Deals That Refresh Your Home,Morgan Davis,1.75,14.73,1,12
2024-07-23,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5342,summer décor deals,tablet,5449145,Affordable Seasonal Decorating Ideas,Quinn Clark,1.58,10.14,1,23
2024-07-27,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5060,outlet home accessories,desktop,1722747,Budget Accessories for Every Room,Riley Wilson,1.39,4.77,1,24
2024-07-28,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,7283,last chance home sale,desktop,4350957,Last Chance: Don’t Miss These Deals,Devon Scott,2.11,13.39,1,9
2024-07-29,havenhome_clearance_rtg_july,Havenhome Clearance Rtg July,5060,outlet home accessories,desktop,1722747,Budget Accessories for Every Room,Riley Wilson,1.66,16.87,1,23
2024-08-02,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,6165,trendy graphic hoodies,tablet,1221085,Best Graphic Hoodies for Every Season,Parker Hall,1.79,19.32,1,20
2024-08-06,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,2202,best cargo pants 2024,mobile,9890715,Top Cargo Pants Picks for 2024,Hayden Walker,2.65,2.12,1,47
2024-08-09,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,3880,unisex street style,desktop,6377484,How to Master Gender-Neutral Streetwear,Casey Brown,1.4,3.32,1,39
2024-08-12,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,6165,trendy graphic hoodies,tablet,1221085,Best Graphic Hoodies for Every Season,Parker Hall,1.77,2.49,1,19
2024-08-13,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,6165,trendy graphic hoodies,tablet,2928245,How to Pair Hoodies with Streetwear Looks,Dakota Garcia,1.21,18.39,1,22
2024-08-14,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,5365,casual fashion inspo,mobile,7928909,How to Look Effortless Yet Polished,Reagan Allen,1.45,16.72,1,43
2024-08-14,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,6165,trendy graphic hoodies,tablet,1221085,Best Graphic Hoodies for Every Season,Parker Hall,1.54,9.24,1,10
2024-08-14,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,8375,streetwear outfits,tablet,6600980,How to Build a Trendy Urban Wardrobe,Payton Green,2.38,10.92,1,39
2024-08-15,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,8375,streetwear outfits,tablet,6600980,How to Build a Trendy Urban Wardrobe,Payton Green,2.57,18.77,1,12
2024-08-17,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,2202,best cargo pants 2024,mobile,9890715,Top Cargo Pants Picks for 2024,Hayden Walker,2.15,15.9,1,35
2024-08-20,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,5365,casual fashion inspo,mobile,7928909,How to Look Effortless Yet Polished,Reagan Allen,1.47,10.03,1,9
2024-08-20,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,5365,casual fashion inspo,mobile,8832321,Easy Outfit Ideas for Casual Style,Hayden Walker,1.53,8.12,1,21
2024-08-21,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,8375,streetwear outfits,tablet,4615639,Styling Tips for Casual Streetwear Looks,Sydney Lewis,2.6,10.77,1,44
2024-08-22,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,3880,unisex street style,desktop,7606464,Fashion Ideas That Work for Everyone,Rowan King,1.36,9.13,1,9
2024-08-23,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,2202,best cargo pants 2024,mobile,1704630,How to Style Cargo Pants for Any Occasion,Riley Wilson,2.18,19.73,1,41
2024-08-23,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,3880,unisex street style,desktop,7606464,Fashion Ideas That Work for Everyone,Rowan King,1.18,16.35,1,27
2024-08-24,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,2202,best cargo pants 2024,mobile,1704630,How to Style Cargo Pants for Any Occasion,Riley Wilson,2.76,4.99,1,33
2024-08-24,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,8375,streetwear outfits,tablet,4615639,Styling Tips for Casual Streetwear Looks,Sydney Lewis,2.32,18.9,1,16
2024-08-27,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,5365,casual fashion inspo,mobile,8832321,Easy Outfit Ideas for Casual Style,Hayden Walker,1.11,12.95,1,8
2024-08-28,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,6165,trendy graphic hoodies,tablet,1221085,Best Graphic Hoodies for Every Season,Parker Hall,1.54,11.29,1,40
2024-08-30,echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost,8375,streetwear outfits,tablet,4615639,Styling Tips for Casual Streetwear Looks,Sydney Lewis,1.94,14.3,1,47
2024-09-01,cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3,5071,flannel shirts sale,mobile,7240983,Best Flannel Shirts to Buy on Sale,Jamie Thompson,1.25,14.26,1,27
2024-09-03,cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3,3108,soft cotton sweater,tablet,4196717,Cotton Sweater Styles to Elevate Your Wardrobe,Quinn Clark,2.09,15.09,1,15
2024-09-03,cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3,3108,soft cotton sweater,tablet,6872665,How to Care for Your Cotton Sweaters,Skyler Wright,1.56,16.9,1,11
2024-09-08,cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3,5071,flannel shirts sale,mobile,2051852,How to Layer Flannel Shirts for Cozy Comfort,Parker Hall,1,8.97,1,48
2024-09-10,cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3,9277,autumn wardrobe essentials,tablet,2404641,How to Build a Timeless Autumn Wardrobe,Jamie Thompson,1.08,15.19,1,6
2024-09-11,cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3,3108,soft cotton sweater,tablet,2588835,Choosing the Softest Cotton Sweaters for Comfort,Hayden Walker,2.26,10.45,1,22
2024-09-12,cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3,2783,fleece hoodie discount,tablet,4268894,Top Fleece Hoodies on Sale Right Now,Riley Wilson,1.97,11.66,1,20
2024-09-12,cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3,5071,flannel shirts sale,mobile,7240983,Best Flannel Shirts to Buy on Sale,Jamie Thompson,0.91,10.02,1,13
2024-09-13,cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3,5004,cozy fall outfits women,desktop,2039340,10 Cozy Fall Outfits Every Woman Needs,Emerson Young,1.56,1.58,1,23
